station_id,station_name,lon,lat,aod
0,Hà Nội: 556 Nguyễn Văn Cừ (KK),105.85,21.0333,1.0914
1,HCM: Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK),106.6667,10.75,0.43039998
2,HCM: Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),106.6667,10.75,0.43039998
3,Long An: UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),106.4167,10.5333,
4,Hà Nội: ĐHBK cổng Parabol đường Giải Phóng (KK),105.8412,21.0245,
5,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),105.7772,20.9725,1.0785999
6,Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),108.2125,16.0406,
7,Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên (KK),105.8442,21.5928,1.5084
8,Phú Thọ: đường Hùng Vương - Tp Việt Trì (KK),105.4308,21.3019,1.3496
9,Bắc Giang: Khu liên cơ quan tỉnh Bắc Giang - P. Ngô Quyền - TP. Bắc Giang (KK),106.2,21.2667,
10,Hà Nam: Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),105.9139,20.5411,
11,"Bình Dương: số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",106.65,10.9667,0.56839997
